selector,model,n_features,training_accuracy_score,training_f1_score,training_precision_score,training_recall_score,test_accuracy_score,test_f1_score_average_weighted,test_precision_score_average_weighted,test_recall_score_average_weighted
PEARSON,SVC,300,0.8666540,0.8047438,0.7510891,0.8666540,0.9654551,0.9484862,0.9321035,0.9654551
PEARSON,SVC,200,0.8666540,0.8047438,0.7510891,0.8666540,0.9654551,0.9484862,0.9321035,0.9654551
PEARSON,SVC,150,0.8666540,0.8047438,0.7510891,0.8666540,0.9654551,0.9484862,0.9321035,0.9654551
PEARSON,SVC,100,0.8860772,0.8680828,0.8686908,0.8860772,0.9654551,0.9484862,0.9321035,0.9654551
PEARSON,SVC,75,0.8666540,0.8051844,0.8179075,0.8666540,0.9654551,0.9484862,0.9321035,0.9654551
PEARSON,SVC,50,0.8806784,0.8642752,0.8616133,0.8806784,0.9654551,0.9484862,0.9321035,0.9654551
PEARSON,SVC,10,0.8785696,0.8595310,0.8574013,0.8785696,0.9654551,0.9484862,0.9321035,0.9654551
PEARSON,SVC,5,0.8782520,0.8535041,0.8552570,0.8782520,0.9654551,0.9484862,0.9321035,0.9654551
PEARSON,GaussianNB,399,0.4342861,0.4942338,0.8643176,0.4342861,0.5219440,0.6557564,0.9453766,0.5219440
PEARSON,GaussianNB,300,0.4471799,0.5085627,0.8662392,0.8662392,0.5017211,0.6376768,0.9456113,0.5017211
PEARSON,GaussianNB,200,0.4589685,0.5212324,0.8691678,0.4589685,0.4795927,0.6178265,0.9429517,0.4795927
PEARSON,GaussianNB,150,0.4539634,0.5156373,0.8693864,0.4539634,0.4789985,0.6177101,0.9406117,0.4789985
PEARSON,GaussianNB,100,0.5096545,0.5763819,0.8600847,0.5096545,0.7048109,0.7984870,0.9392957,0.7048109
PEARSON,GaussianNB,75,0.4498603,0.5129050,0.8583361,0.4498603,0.6701635,0.7741611,0.9395816,0.6701635
PEARSON,GaussianNB,50,0.3459477,0.3851044,0.8628002,0.3459477,0.5367783,0.6690877,0.9426256,0.5367783
PEARSON,GaussianNB,10,0.7930513,0.8101654,0.8345629,0.7930513,0.9654551,0.9515195,0.9508911,0.9654551
PEARSON,GaussianNB,5,0.7859375,0.8049928,0.8327008,0.7859375,0.9654551,0.9484862,0.9321035,0.9654551
PEARSON,MultinomialNB,399,0.7433816,0.7798588,0.8559192,0.7433816,0.9654551,0.9484862,0.9321035,0.9654551
PEARSON,MultinomialNB,300,0.7413110,0.7782647,0.8555812,0.7413110,0.9654551,0.9484862,0.9321035,0.9654551
